rotulo,turma,execucao,criterio,nota
9A-01,9A,run-1,adequacao_ling,4
9A-01,9A,run-1,adequacao_tema,7
9A-01,9A,run-1,coesao_coerencia,5
9A-01,9A,run-1,estrutura_textual,4
9A-01,9A,run-1,vocabulario,4
9A-01,9A,run-2,adequacao_ling,5
9A-01,9A,run-2,adequacao_tema,8
9A-01,9A,run-2,coesao_coerencia,5
9A-01,9A,run-2,estrutura_textual,5
9A-01,9A,run-2,vocabulario,6
9A-01,9A,run-3,adequacao_ling,5
9A-01,9A,run-3,adequacao_tema,8
9A-01,9A,run-3,coesao_coerencia,6
9A-01,9A,run-3,estrutura_textual,5
9A-01,9A,run-3,vocabulario,5
9A-01,9A,run-4,adequacao_ling,6
9A-01,9A,run-4,adequacao_tema,9
9A-01,9A,run-4,coesao_coerencia,7
9A-01,9A,run-4,estrutura_textual,6
9A-01,9A,run-4,vocabulario,6
9A-01,9A,run-5,adequacao_ling,4
9A-01,9A,run-5,adequacao_tema,7
9A-01,9A,run-5,coesao_coerencia,5
9A-01,9A,run-5,estrutura_textual,5
9A-01,9A,run-5,vocabulario,6
9A-02,9A,run-1,adequacao_ling,1
9A-02,9A,run-1,adequacao_tema,2
9A-02,9A,run-1,coesao_coerencia,1
9A-02,9A,run-1,estrutura_textual,1
9A-02,9A,run-1,vocabulario,1
9A-02,9A,run-2,adequacao_ling,1
9A-02,9A,run-2,adequacao_tema,2
9A-02,9A,run-2,coesao_coerencia,1
9A-02,9A,run-2,estrutura_textual,1
9A-02,9A,run-2,vocabulario,1
9A-02,9A,run-3,adequacao_ling,1
9A-02,9A,run-3,adequacao_tema,1
9A-02,9A,run-3,coesao_coerencia,1
9A-02,9A,run-3,estrutura_textual,1
9A-02,9A,run-3,vocabulario,1
9A-02,9A,run-4,adequacao_ling,1
9A-02,9A,run-4,adequacao_tema,2
9A-02,9A,run-4,coesao_coerencia,1
9A-02,9A,run-4,estrutura_textual,1
9A-02,9A,run-4,vocabulario,2
9A-02,9A,run-5,adequacao_ling,1
9A-02,9A,run-5,adequacao_tema,2
9A-02,9A,run-5,coesao_coerencia,1
9A-02,9A,run-5,estrutura_textual,1
9A-02,9A,run-5,vocabulario,2
9A-03,9A,run-1,adequacao_ling,2
9A-03,9A,run-1,adequacao_tema,4
9A-03,9A,run-1,coesao_coerencia,2
9A-03,9A,run-1,estrutura_textual,2
9A-03,9A,run-1,vocabulario,3
9A-03,9A,run-2,adequacao_ling,2
9A-03,9A,run-2,adequacao_tema,3
9A-03,9A,run-2,coesao_coerencia,2
9A-03,9A,run-2,estrutura_textual,2
9A-03,9A,run-2,vocabulario,3
9A-03,9A,run-3,adequacao_ling,2
9A-03,9A,run-3,adequacao_tema,4
9A-03,9A,run-3,coesao_coerencia,3
9A-03,9A,run-3,estrutura_textual,2
9A-03,9A,run-3,vocabulario,3
9A-03,9A,run-4,adequacao_ling,2
9A-03,9A,run-4,adequacao_tema,4
9A-03,9A,run-4,coesao_coerencia,2
9A-03,9A,run-4,estrutura_textual,2
9A-03,9A,run-4,vocabulario,3
9A-03,9A,run-5,adequacao_ling,2
9A-03,9A,run-5,adequacao_tema,3
9A-03,9A,run-5,coesao_coerencia,2
9A-03,9A,run-5,estrutura_textual,2
9A-03,9A,run-5,vocabulario,3
9A-04,9A,run-1,adequacao_ling,1
9A-04,9A,run-1,adequacao_tema,3
9A-04,9A,run-1,coesao_coerencia,1
9A-04,9A,run-1,estrutura_textual,1
9A-04,9A,run-1,vocabulario,1
9A-04,9A,run-2,adequacao_ling,1
9A-04,9A,run-2,adequacao_tema,3
9A-04,9A,run-2,coesao_coerencia,1
9A-04,9A,run-2,estrutura_textual,2
9A-04,9A,run-2,vocabulario,2
9A-04,9A,run-3,adequacao_ling,1
9A-04,9A,run-3,adequacao_tema,3
9A-04,9A,run-3,coesao_coerencia,1
9A-04,9A,run-3,estrutura_textual,2
9A-04,9A,run-3,vocabulario,2
9A-04,9A,run-4,adequacao_ling,2
9A-04,9A,run-4,adequacao_tema,3
9A-04,9A,run-4,coesao_coerencia,2
9A-04,9A,run-4,estrutura_textual,2
9A-04,9A,run-4,vocabulario,2
9A-04,9A,run-5,adequacao_ling,1
9A-04,9A,run-5,adequacao_tema,2
9A-04,9A,run-5,coesao_coerencia,1
9A-04,9A,run-5,estrutura_textual,1
9A-04,9A,run-5,vocabulario,1
9A-05,9A,run-1,adequacao_ling,2
9A-05,9A,run-1,adequacao_tema,4
9A-05,9A,run-1,coesao_coerencia,2
9A-05,9A,run-1,estrutura_textual,2
9A-05,9A,run-1,vocabulario,2
9A-05,9A,run-2,adequacao_ling,2
9A-05,9A,run-2,adequacao_tema,4
9A-05,9A,run-2,coesao_coerencia,2
9A-05,9A,run-2,estrutura_textual,2
9A-05,9A,run-2,vocabulario,2
9A-05,9A,run-3,adequacao_ling,2
9A-05,9A,run-3,adequacao_tema,4
9A-05,9A,run-3,coesao_coerencia,2
9A-05,9A,run-3,estrutura_textual,2
9A-05,9A,run-3,vocabulario,2
9A-05,9A,run-4,adequacao_ling,2
9A-05,9A,run-4,adequacao_tema,4
9A-05,9A,run-4,coesao_coerencia,2
9A-05,9A,run-4,estrutura_textual,3
9A-05,9A,run-4,vocabulario,3
9A-05,9A,run-5,adequacao_ling,1
9A-05,9A,run-5,adequacao_tema,3
9A-05,9A,run-5,coesao_coerencia,2
9A-05,9A,run-5,estrutura_textual,2
9A-05,9A,run-5,vocabulario,2
9A-06,9A,run-1,adequacao_ling,3
9A-06,9A,run-1,adequacao_tema,4
9A-06,9A,run-1,coesao_coerencia,2
9A-06,9A,run-1,estrutura_textual,2
9A-06,9A,run-1,vocabulario,3
9A-06,9A,run-2,adequacao_ling,3
9A-06,9A,run-2,adequacao_tema,6
9A-06,9A,run-2,coesao_coerencia,4
9A-06,9A,run-2,estrutura_textual,3
9A-06,9A,run-2,vocabulario,4
9A-06,9A,run-3,adequacao_ling,3
9A-06,9A,run-3,adequacao_tema,6
9A-06,9A,run-3,coesao_coerencia,3
9A-06,9A,run-3,estrutura_textual,3
9A-06,9A,run-3,vocabulario,3
9A-06,9A,run-4,adequacao_ling,3
9A-06,9A,run-4,adequacao_tema,6
9A-06,9A,run-4,coesao_coerencia,3
9A-06,9A,run-4,estrutura_textual,4
9A-06,9A,run-4,vocabulario,3
9A-06,9A,run-5,adequacao_ling,2
9A-06,9A,run-5,adequacao_tema,4
9A-06,9A,run-5,coesao_coerencia,3
9A-06,9A,run-5,estrutura_textual,2
9A-06,9A,run-5,vocabulario,3
9A-07,9A,run-1,adequacao_ling,4
9A-07,9A,run-1,adequacao_tema,7
9A-07,9A,run-1,coesao_coerencia,5
9A-07,9A,run-1,estrutura_textual,5
9A-07,9A,run-1,vocabulario,5
9A-07,9A,run-2,adequacao_ling,3
9A-07,9A,run-2,adequacao_tema,6
9A-07,9A,run-2,coesao_coerencia,4
9A-07,9A,run-2,estrutura_textual,3
9A-07,9A,run-2,vocabulario,5
9A-07,9A,run-3,adequacao_ling,3
9A-07,9A,run-3,adequacao_tema,6
9A-07,9A,run-3,coesao_coerencia,3
9A-07,9A,run-3,estrutura_textual,3
9A-07,9A,run-3,vocabulario,4
9A-07,9A,run-4,adequacao_ling,4
9A-07,9A,run-4,adequacao_tema,7
9A-07,9A,run-4,coesao_coerencia,4
9A-07,9A,run-4,estrutura_textual,4
9A-07,9A,run-4,vocabulario,5
9A-07,9A,run-5,adequacao_ling,4
9A-07,9A,run-5,adequacao_tema,6
9A-07,9A,run-5,coesao_coerencia,4
9A-07,9A,run-5,estrutura_textual,3
9A-07,9A,run-5,vocabulario,5
9A-08,9A,run-1,adequacao_ling,2
9A-08,9A,run-1,adequacao_tema,2
9A-08,9A,run-1,coesao_coerencia,1
9A-08,9A,run-1,estrutura_textual,1
9A-08,9A,run-1,vocabulario,2
9A-08,9A,run-2,adequacao_ling,1
9A-08,9A,run-2,adequacao_tema,3
9A-08,9A,run-2,coesao_coerencia,1
9A-08,9A,run-2,estrutura_textual,2
9A-08,9A,run-2,vocabulario,2
9A-08,9A,run-3,adequacao_ling,2
9A-08,9A,run-3,adequacao_tema,2
9A-08,9A,run-3,coesao_coerencia,1
9A-08,9A,run-3,estrutura_textual,1
9A-08,9A,run-3,vocabulario,3
9A-08,9A,run-4,adequacao_ling,1
9A-08,9A,run-4,adequacao_tema,1
9A-08,9A,run-4,coesao_coerencia,1
9A-08,9A,run-4,estrutura_textual,1
9A-08,9A,run-4,vocabulario,1
9A-08,9A,run-5,adequacao_ling,2
9A-08,9A,run-5,adequacao_tema,2
9A-08,9A,run-5,coesao_coerencia,1
9A-08,9A,run-5,estrutura_textual,1
9A-08,9A,run-5,vocabulario,2
9A-09,9A,run-1,adequacao_ling,1
9A-09,9A,run-1,adequacao_tema,3
9A-09,9A,run-1,coesao_coerencia,2
9A-09,9A,run-1,estrutura_textual,2
9A-09,9A,run-1,vocabulario,2
9A-09,9A,run-2,adequacao_ling,2
9A-09,9A,run-2,adequacao_tema,4
9A-09,9A,run-2,coesao_coerencia,3
9A-09,9A,run-2,estrutura_textual,3
9A-09,9A,run-2,vocabulario,2
9A-09,9A,run-3,adequacao_ling,1
9A-09,9A,run-3,adequacao_tema,3
9A-09,9A,run-3,coesao_coerencia,2
9A-09,9A,run-3,estrutura_textual,2
9A-09,9A,run-3,vocabulario,1
9A-09,9A,run-4,adequacao_ling,2
9A-09,9A,run-4,adequacao_tema,5
9A-09,9A,run-4,coesao_coerencia,3
9A-09,9A,run-4,estrutura_textual,4
9A-09,9A,run-4,vocabulario,3
9A-09,9A,run-5,adequacao_ling,2
9A-09,9A,run-5,adequacao_tema,3
9A-09,9A,run-5,coesao_coerencia,2
9A-09,9A,run-5,estrutura_textual,2
9A-09,9A,run-5,vocabulario,2
9A-10,9A,run-1,adequacao_ling,4
9A-10,9A,run-1,adequacao_tema,6
9A-10,9A,run-1,coesao_coerencia,4
9A-10,9A,run-1,estrutura_textual,4
9A-10,9A,run-1,vocabulario,4
9A-10,9A,run-2,adequacao_ling,3
9A-10,9A,run-2,adequacao_tema,6
9A-10,9A,run-2,coesao_coerencia,3
9A-10,9A,run-2,estrutura_textual,2
9A-10,9A,run-2,vocabulario,3
9A-10,9A,run-3,adequacao_ling,3
9A-10,9A,run-3,adequacao_tema,5
9A-10,9A,run-3,coesao_coerencia,3
9A-10,9A,run-3,estrutura_textual,3
9A-10,9A,run-3,vocabulario,3
9A-10,9A,run-4,adequacao_ling,3
9A-10,9A,run-4,adequacao_tema,6
9A-10,9A,run-4,coesao_coerencia,4
9A-10,9A,run-4,estrutura_textual,3
9A-10,9A,run-4,vocabulario,4
9A-10,9A,run-5,adequacao_ling,4
9A-10,9A,run-5,adequacao_tema,6
9A-10,9A,run-5,coesao_coerencia,3
9A-10,9A,run-5,estrutura_textual,3
9A-10,9A,run-5,vocabulario,4
9A-11,9A,run-1,adequacao_ling,1
9A-11,9A,run-1,adequacao_tema,3
9A-11,9A,run-1,coesao_coerencia,2
9A-11,9A,run-1,estrutura_textual,2
9A-11,9A,run-1,vocabulario,2
9A-11,9A,run-2,adequacao_ling,1
9A-11,9A,run-2,adequacao_tema,2
9A-11,9A,run-2,coesao_coerencia,1
9A-11,9A,run-2,estrutura_textual,1
9A-11,9A,run-2,vocabulario,1
9A-11,9A,run-3,adequacao_ling,2
9A-11,9A,run-3,adequacao_tema,4
9A-11,9A,run-3,coesao_coerencia,2
9A-11,9A,run-3,estrutura_textual,2
9A-11,9A,run-3,vocabulario,2
9A-11,9A,run-4,adequacao_ling,1
9A-11,9A,run-4,adequacao_tema,4
9A-11,9A,run-4,coesao_coerencia,2
9A-11,9A,run-4,estrutura_textual,2
9A-11,9A,run-4,vocabulario,2
9A-11,9A,run-5,adequacao_ling,1
9A-11,9A,run-5,adequacao_tema,3
9A-11,9A,run-5,coesao_coerencia,2
9A-11,9A,run-5,estrutura_textual,1
9A-11,9A,run-5,vocabulario,2
9A-12,9A,run-1,adequacao_ling,0
9A-12,9A,run-1,adequacao_tema,0
9A-12,9A,run-1,coesao_coerencia,0
9A-12,9A,run-1,estrutura_textual,0
9A-12,9A,run-1,vocabulario,1
9A-12,9A,run-2,adequacao_ling,0
9A-12,9A,run-2,adequacao_tema,1
9A-12,9A,run-2,coesao_coerencia,0
9A-12,9A,run-2,estrutura_textual,0
9A-12,9A,run-2,vocabulario,1
9A-12,9A,run-3,adequacao_ling,0
9A-12,9A,run-3,adequacao_tema,0
9A-12,9A,run-3,coesao_coerencia,0
9A-12,9A,run-3,estrutura_textual,0
9A-12,9A,run-3,vocabulario,0
9A-12,9A,run-4,adequacao_ling,0
9A-12,9A,run-4,adequacao_tema,0
9A-12,9A,run-4,coesao_coerencia,0
9A-12,9A,run-4,estrutura_textual,0
9A-12,9A,run-4,vocabulario,0
9A-12,9A,run-5,adequacao_ling,0
9A-12,9A,run-5,adequacao_tema,0
9A-12,9A,run-5,coesao_coerencia,0
9A-12,9A,run-5,estrutura_textual,0
9A-12,9A,run-5,vocabulario,0
9A-13,9A,run-1,adequacao_ling,2
9A-13,9A,run-1,adequacao_tema,4
9A-13,9A,run-1,coesao_coerencia,3
9A-13,9A,run-1,estrutura_textual,2
9A-13,9A,run-1,vocabulario,3
9A-13,9A,run-2,adequacao_ling,2
9A-13,9A,run-2,adequacao_tema,5
9A-13,9A,run-2,coesao_coerencia,3
9A-13,9A,run-2,estrutura_textual,2
9A-13,9A,run-2,vocabulario,2
9A-13,9A,run-3,adequacao_ling,2
9A-13,9A,run-3,adequacao_tema,4
9A-13,9A,run-3,coesao_coerencia,3
9A-13,9A,run-3,estrutura_textual,2
9A-13,9A,run-3,vocabulario,3
9A-13,9A,run-4,adequacao_ling,3
9A-13,9A,run-4,adequacao_tema,6
9A-13,9A,run-4,coesao_coerencia,4
9A-13,9A,run-4,estrutura_textual,3
9A-13,9A,run-4,vocabulario,3
9A-13,9A,run-5,adequacao_ling,3
9A-13,9A,run-5,adequacao_tema,5
9A-13,9A,run-5,coesao_coerencia,4
9A-13,9A,run-5,estrutura_textual,3
9A-13,9A,run-5,vocabulario,3
9A-14,9A,run-1,adequacao_ling,3
9A-14,9A,run-1,adequacao_tema,6
9A-14,9A,run-1,coesao_coerencia,4
9A-14,9A,run-1,estrutura_textual,4
9A-14,9A,run-1,vocabulario,4
9A-14,9A,run-2,adequacao_ling,3
9A-14,9A,run-2,adequacao_tema,6
9A-14,9A,run-2,coesao_coerencia,4
9A-14,9A,run-2,estrutura_textual,4
9A-14,9A,run-2,vocabulario,3
9A-14,9A,run-3,adequacao_ling,3
9A-14,9A,run-3,adequacao_tema,6
9A-14,9A,run-3,coesao_coerencia,4
9A-14,9A,run-3,estrutura_textual,3
9A-14,9A,run-3,vocabulario,3
9A-14,9A,run-4,adequacao_ling,3
9A-14,9A,run-4,adequacao_tema,6
9A-14,9A,run-4,coesao_coerencia,4
9A-14,9A,run-4,estrutura_textual,3
9A-14,9A,run-4,vocabulario,4
9A-14,9A,run-5,adequacao_ling,3
9A-14,9A,run-5,adequacao_tema,6
9A-14,9A,run-5,coesao_coerencia,4
9A-14,9A,run-5,estrutura_textual,4
9A-14,9A,run-5,vocabulario,4
9A-15,9A,run-1,adequacao_ling,3
9A-15,9A,run-1,adequacao_tema,7
9A-15,9A,run-1,coesao_coerencia,4
9A-15,9A,run-1,estrutura_textual,4
9A-15,9A,run-1,vocabulario,4
9A-15,9A,run-2,adequacao_ling,3
9A-15,9A,run-2,adequacao_tema,6
9A-15,9A,run-2,coesao_coerencia,4
9A-15,9A,run-2,estrutura_textual,3
9A-15,9A,run-2,vocabulario,3
9A-15,9A,run-3,adequacao_ling,3
9A-15,9A,run-3,adequacao_tema,7
9A-15,9A,run-3,coesao_coerencia,4
9A-15,9A,run-3,estrutura_textual,4
9A-15,9A,run-3,vocabulario,4
9A-15,9A,run-4,adequacao_ling,4
9A-15,9A,run-4,adequacao_tema,7
9A-15,9A,run-4,coesao_coerencia,5
9A-15,9A,run-4,estrutura_textual,4
9A-15,9A,run-4,vocabulario,5
9A-15,9A,run-5,adequacao_ling,3
9A-15,9A,run-5,adequacao_tema,6
9A-15,9A,run-5,coesao_coerencia,5
9A-15,9A,run-5,estrutura_textual,3
9A-15,9A,run-5,vocabulario,4
9A-16,9A,run-1,adequacao_ling,2
9A-16,9A,run-1,adequacao_tema,5
9A-16,9A,run-1,coesao_coerencia,3
9A-16,9A,run-1,estrutura_textual,3
9A-16,9A,run-1,vocabulario,3
9A-16,9A,run-2,adequacao_ling,2
9A-16,9A,run-2,adequacao_tema,7
9A-16,9A,run-2,coesao_coerencia,3
9A-16,9A,run-2,estrutura_textual,3
9A-16,9A,run-2,vocabulario,3
9A-16,9A,run-3,adequacao_ling,2
9A-16,9A,run-3,adequacao_tema,6
9A-16,9A,run-3,coesao_coerencia,2
9A-16,9A,run-3,estrutura_textual,2
9A-16,9A,run-3,vocabulario,3
9A-16,9A,run-4,adequacao_ling,1
9A-16,9A,run-4,adequacao_tema,5
9A-16,9A,run-4,coesao_coerencia,2
9A-16,9A,run-4,estrutura_textual,2
9A-16,9A,run-4,vocabulario,2
9A-16,9A,run-5,adequacao_ling,2
9A-16,9A,run-5,adequacao_tema,5
9A-16,9A,run-5,coesao_coerencia,2
9A-16,9A,run-5,estrutura_textual,2
9A-16,9A,run-5,vocabulario,3
9A-17,9A,run-1,adequacao_ling,5
9A-17,9A,run-1,adequacao_tema,7
9A-17,9A,run-1,coesao_coerencia,6
9A-17,9A,run-1,estrutura_textual,5
9A-17,9A,run-1,vocabulario,7
9A-17,9A,run-2,adequacao_ling,5
9A-17,9A,run-2,adequacao_tema,7
9A-17,9A,run-2,coesao_coerencia,6
9A-17,9A,run-2,estrutura_textual,5
9A-17,9A,run-2,vocabulario,6
9A-17,9A,run-3,adequacao_ling,5
9A-17,9A,run-3,adequacao_tema,8
9A-17,9A,run-3,coesao_coerencia,6
9A-17,9A,run-3,estrutura_textual,6
9A-17,9A,run-3,vocabulario,6
9A-17,9A,run-4,adequacao_ling,5
9A-17,9A,run-4,adequacao_tema,8
9A-17,9A,run-4,coesao_coerencia,6
9A-17,9A,run-4,estrutura_textual,5
9A-17,9A,run-4,vocabulario,6
9A-17,9A,run-5,adequacao_ling,4
9A-17,9A,run-5,adequacao_tema,8
9A-17,9A,run-5,coesao_coerencia,5
9A-17,9A,run-5,estrutura_textual,4
9A-17,9A,run-5,vocabulario,5
9A-18,9A,run-1,adequacao_ling,2
9A-18,9A,run-1,adequacao_tema,4
9A-18,9A,run-1,coesao_coerencia,3
9A-18,9A,run-1,estrutura_textual,3
9A-18,9A,run-1,vocabulario,2
9A-18,9A,run-2,adequacao_ling,2
9A-18,9A,run-2,adequacao_tema,5
9A-18,9A,run-2,coesao_coerencia,2
9A-18,9A,run-2,estrutura_textual,3
9A-18,9A,run-2,vocabulario,2
9A-18,9A,run-3,adequacao_ling,2
9A-18,9A,run-3,adequacao_tema,5
9A-18,9A,run-3,coesao_coerencia,2
9A-18,9A,run-3,estrutura_textual,3
9A-18,9A,run-3,vocabulario,2
9A-18,9A,run-4,adequacao_ling,2
9A-18,9A,run-4,adequacao_tema,5
9A-18,9A,run-4,coesao_coerencia,3
9A-18,9A,run-4,estrutura_textual,4
9A-18,9A,run-4,vocabulario,3
9A-18,9A,run-5,adequacao_ling,2
9A-18,9A,run-5,adequacao_tema,5
9A-18,9A,run-5,coesao_coerencia,2
9A-18,9A,run-5,estrutura_textual,2
9A-18,9A,run-5,vocabulario,3
9A-19,9A,run-1,adequacao_ling,4
9A-19,9A,run-1,adequacao_tema,7
9A-19,9A,run-1,coesao_coerencia,5
9A-19,9A,run-1,estrutura_textual,5
9A-19,9A,run-1,vocabulario,4
9A-19,9A,run-2,adequacao_ling,3
9A-19,9A,run-2,adequacao_tema,7
9A-19,9A,run-2,coesao_coerencia,4
9A-19,9A,run-2,estrutura_textual,4
9A-19,9A,run-2,vocabulario,4
9A-19,9A,run-3,adequacao_ling,4
9A-19,9A,run-3,adequacao_tema,7
9A-19,9A,run-3,coesao_coerencia,4
9A-19,9A,run-3,estrutura_textual,4
9A-19,9A,run-3,vocabulario,5
9A-19,9A,run-4,adequacao_ling,3
9A-19,9A,run-4,adequacao_tema,6
9A-19,9A,run-4,coesao_coerencia,4
9A-19,9A,run-4,estrutura_textual,3
9A-19,9A,run-4,vocabulario,4
9A-19,9A,run-5,adequacao_ling,4
9A-19,9A,run-5,adequacao_tema,7
9A-19,9A,run-5,coesao_coerencia,4
9A-19,9A,run-5,estrutura_textual,4
9A-19,9A,run-5,vocabulario,4
9A-20,9A,run-1,adequacao_ling,3
9A-20,9A,run-1,adequacao_tema,5
9A-20,9A,run-1,coesao_coerencia,3
9A-20,9A,run-1,estrutura_textual,3
9A-20,9A,run-1,vocabulario,3
9A-20,9A,run-2,adequacao_ling,2
9A-20,9A,run-2,adequacao_tema,4
9A-20,9A,run-2,coesao_coerencia,2
9A-20,9A,run-2,estrutura_textual,2
9A-20,9A,run-2,vocabulario,2
9A-20,9A,run-3,adequacao_ling,2
9A-20,9A,run-3,adequacao_tema,5
9A-20,9A,run-3,coesao_coerencia,3
9A-20,9A,run-3,estrutura_textual,2
9A-20,9A,run-3,vocabulario,3
9A-20,9A,run-4,adequacao_ling,2
9A-20,9A,run-4,adequacao_tema,4
9A-20,9A,run-4,coesao_coerencia,2
9A-20,9A,run-4,estrutura_textual,2
9A-20,9A,run-4,vocabulario,2
9A-20,9A,run-5,adequacao_ling,2
9A-20,9A,run-5,adequacao_tema,5
9A-20,9A,run-5,coesao_coerencia,3
9A-20,9A,run-5,estrutura_textual,2
9A-20,9A,run-5,vocabulario,3
9A-21,9A,run-1,adequacao_ling,7
9A-21,9A,run-1,adequacao_tema,7
9A-21,9A,run-1,coesao_coerencia,6
9A-21,9A,run-1,estrutura_textual,5
9A-21,9A,run-1,vocabulario,8
9A-21,9A,run-2,adequacao_ling,7
9A-21,9A,run-2,adequacao_tema,6
9A-21,9A,run-2,coesao_coerencia,5
9A-21,9A,run-2,estrutura_textual,3
9A-21,9A,run-2,vocabulario,7
9A-21,9A,run-3,adequacao_ling,7
9A-21,9A,run-3,adequacao_tema,6
9A-21,9A,run-3,coesao_coerencia,5
9A-21,9A,run-3,estrutura_textual,3
9A-21,9A,run-3,vocabulario,7
9A-21,9A,run-4,adequacao_ling,7
9A-21,9A,run-4,adequacao_tema,6
9A-21,9A,run-4,coesao_coerencia,6
9A-21,9A,run-4,estrutura_textual,4
9A-21,9A,run-4,vocabulario,8
9A-21,9A,run-5,adequacao_ling,6
9A-21,9A,run-5,adequacao_tema,7
9A-21,9A,run-5,coesao_coerencia,5
9A-21,9A,run-5,estrutura_textual,3
9A-21,9A,run-5,vocabulario,7
9A-22,9A,run-1,adequacao_ling,5
9A-22,9A,run-1,adequacao_tema,7
9A-22,9A,run-1,coesao_coerencia,5
9A-22,9A,run-1,estrutura_textual,5
9A-22,9A,run-1,vocabulario,6
9A-22,9A,run-2,adequacao_ling,5
9A-22,9A,run-2,adequacao_tema,6
9A-22,9A,run-2,coesao_coerencia,4
9A-22,9A,run-2,estrutura_textual,4
9A-22,9A,run-2,vocabulario,6
9A-22,9A,run-3,adequacao_ling,5
9A-22,9A,run-3,adequacao_tema,6
9A-22,9A,run-3,coesao_coerencia,4
9A-22,9A,run-3,estrutura_textual,3
9A-22,9A,run-3,vocabulario,5
9A-22,9A,run-4,adequacao_ling,6
9A-22,9A,run-4,adequacao_tema,6
9A-22,9A,run-4,coesao_coerencia,5
9A-22,9A,run-4,estrutura_textual,4
9A-22,9A,run-4,vocabulario,6
9A-22,9A,run-5,adequacao_ling,5
9A-22,9A,run-5,adequacao_tema,6
9A-22,9A,run-5,coesao_coerencia,5
9A-22,9A,run-5,estrutura_textual,4
9A-22,9A,run-5,vocabulario,6
9A-23,9A,run-1,adequacao_ling,4
9A-23,9A,run-1,adequacao_tema,9
9A-23,9A,run-1,coesao_coerencia,5
9A-23,9A,run-1,estrutura_textual,5
9A-23,9A,run-1,vocabulario,5
9A-23,9A,run-2,adequacao_ling,4
9A-23,9A,run-2,adequacao_tema,6
9A-23,9A,run-2,coesao_coerencia,5
9A-23,9A,run-2,estrutura_textual,5
9A-23,9A,run-2,vocabulario,5
9A-23,9A,run-3,adequacao_ling,4
9A-23,9A,run-3,adequacao_tema,7
9A-23,9A,run-3,coesao_coerencia,5
9A-23,9A,run-3,estrutura_textual,4
9A-23,9A,run-3,vocabulario,5
9A-23,9A,run-4,adequacao_ling,4
9A-23,9A,run-4,adequacao_tema,6
9A-23,9A,run-4,coesao_coerencia,5
9A-23,9A,run-4,estrutura_textual,4
9A-23,9A,run-4,vocabulario,5
9A-23,9A,run-5,adequacao_ling,5
9A-23,9A,run-5,adequacao_tema,8
9A-23,9A,run-5,coesao_coerencia,6
9A-23,9A,run-5,estrutura_textual,5
9A-23,9A,run-5,vocabulario,6
9A-24,9A,run-1,adequacao_ling,3
9A-24,9A,run-1,adequacao_tema,6
9A-24,9A,run-1,coesao_coerencia,3
9A-24,9A,run-1,estrutura_textual,3
9A-24,9A,run-1,vocabulario,4
9A-24,9A,run-2,adequacao_ling,2
9A-24,9A,run-2,adequacao_tema,4
9A-24,9A,run-2,coesao_coerencia,2
9A-24,9A,run-2,estrutura_textual,2
9A-24,9A,run-2,vocabulario,3
9A-24,9A,run-3,adequacao_ling,2
9A-24,9A,run-3,adequacao_tema,5
9A-24,9A,run-3,coesao_coerencia,2
9A-24,9A,run-3,estrutura_textual,2
9A-24,9A,run-3,vocabulario,2
9A-24,9A,run-4,adequacao_ling,2
9A-24,9A,run-4,adequacao_tema,6
9A-24,9A,run-4,coesao_coerencia,3
9A-24,9A,run-4,estrutura_textual,3
9A-24,9A,run-4,vocabulario,3
9A-24,9A,run-5,adequacao_ling,3
9A-24,9A,run-5,adequacao_tema,6
9A-24,9A,run-5,coesao_coerencia,3
9A-24,9A,run-5,estrutura_textual,3
9A-24,9A,run-5,vocabulario,3
9A-25,9A,run-1,adequacao_ling,1
9A-25,9A,run-1,adequacao_tema,2
9A-25,9A,run-1,coesao_coerencia,1
9A-25,9A,run-1,estrutura_textual,1
9A-25,9A,run-1,vocabulario,2
9A-25,9A,run-2,adequacao_ling,0
9A-25,9A,run-2,adequacao_tema,1
9A-25,9A,run-2,coesao_coerencia,0
9A-25,9A,run-2,estrutura_textual,0
9A-25,9A,run-2,vocabulario,1
9A-25,9A,run-3,adequacao_ling,1
9A-25,9A,run-3,adequacao_tema,3
9A-25,9A,run-3,coesao_coerencia,2
9A-25,9A,run-3,estrutura_textual,2
9A-25,9A,run-3,vocabulario,2
9A-25,9A,run-4,adequacao_ling,1
9A-25,9A,run-4,adequacao_tema,3
9A-25,9A,run-4,coesao_coerencia,2
9A-25,9A,run-4,estrutura_textual,2
9A-25,9A,run-4,vocabulario,2
9A-25,9A,run-5,adequacao_ling,1
9A-25,9A,run-5,adequacao_tema,3
9A-25,9A,run-5,coesao_coerencia,1
9A-25,9A,run-5,estrutura_textual,1
9A-25,9A,run-5,vocabulario,1
9A-26,9A,run-1,adequacao_ling,5
9A-26,9A,run-1,adequacao_tema,7
9A-26,9A,run-1,coesao_coerencia,5
9A-26,9A,run-1,estrutura_textual,4
9A-26,9A,run-1,vocabulario,6
9A-26,9A,run-2,adequacao_ling,4
9A-26,9A,run-2,adequacao_tema,7
9A-26,9A,run-2,coesao_coerencia,5
9A-26,9A,run-2,estrutura_textual,5
9A-26,9A,run-2,vocabulario,6
